unitsRNN,learning_rate,maxlen,result_10000,win/lose,result_all,win/lose,type,file_name
60,0.0001,30,2.2999530520908795,0.4014925373134328,2.2999530520908795,0.4014925373134328,GRU,20230607_184814
60,0.001,30,1.7789345797633185,0.4779220779220779,1.7789345797633185,0.4779220779220779,GRU,20230607_185800
60,0.0001,60,0.5286350066648738,0.304857621440536,0.5286350066648738,0.304857621440536,GRU,20230607_190332
60,0.001,60,1.5050640386080696,0.44565217391304346,1.5050640386080696,0.44565217391304346,GRU,20230607_191437
60,0.0001,90,1.513996775171882,0.41901931649331353,1.513996775171882,0.41901931649331353,GRU,20230607_200304
60,0.001,90,4.857495957085386,0.4836309523809524,4.857495957085386,0.4836309523809524,GRU,20230607_201700
60,0.0001,120,1.0046367696283365,0.4,1.0046367696283365,0.4,GRU,20230607_204154
60,0.001,120,2.898900551394269,0.43103448275862066,2.898900551394269,0.43103448275862066,GRU,20230607_205455
90,0.0001,30,0.939431980410038,0.3598200899550225,0.939431980410038,0.3598200899550225,GRU,20230607_211152
90,0.001,30,0.21389419759816214,0.4104193138500635,0.21389419759816214,0.4104193138500635,GRU,20230607_212308
